"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","x","y","frac_1","frac_2","frac_3"
"53",NA,52,1.21,0,1.21,1.21,100,0.857376,0.5,0.904761904761905,0,1,0
"54",NA,53,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.6875,0,1,0
"55",NA,54,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.75,0,1,0
"56",NA,55,1.21,0,1.21,1.21,100,1.210002,0.833333333333333,0.428571428571429,0,1,0
"57",NA,56,1.2079,0.000441,1,1.21,100,0.857376,0.5,0.952380952380952,0.01,0.99,0
"58",NA,57,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.8125,0,1,0
"59",NA,58,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.875,0,1,0
"60",NA,59,1.21,0,1.21,1.21,100,1.210002,0.833333333333333,0.571428571428571,0,1,0
"61",NA,60,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.9375,0,1,0
"62",NA,61,1.21,0,1.21,1.21,100,1.210002,0.833333333333333,0.714285714285714,0,1,0
"63",NA,62,1.21,0,1.21,1.21,100,1.210002,0.833333333333333,0.857142857142857,0,1,0
"64",NA,63,1.21,0,1.21,1.21,100,1.210002,1,0.5,0,1,0
