rep_id,trial_id,starting_index,landscape_seed,avg_fitness,max_fitness,dom_fitness,final_max_org_fitness,final_max_org_genotype
000,1,0,0838,3.79009,3.81979,3.81979,3.81979,100000
000,2,0,0838,3.90664,3.93591,3.93591,3.93591,010100
000,3,0,0838,3.80267,3.81979,3.81979,3.81979,100000
000,4,0,0838,3.79283,3.81979,3.81979,3.81979,100000
000,5,0,0838,3.7932,3.81979,3.81979,3.81979,100000
000,6,0,0838,3.80129,3.81979,3.81979,3.81979,100000
000,7,0,0838,3.79403,3.81979,3.81979,3.81979,100000
000,8,0,0838,3.79478,3.81979,3.81979,3.81979,100000
000,9,0,0838,3.92182,3.93591,3.93591,3.93591,010100
000,10,0,0838,3.80027,3.81979,3.81979,3.81979,100000
000,11,0,0838,3.80068,3.81979,3.81979,3.81979,100000
000,12,0,0838,3.90891,3.93591,3.93591,3.93591,010100
000,13,0,0838,3.79052,3.81979,3.81979,3.81979,100000
000,14,0,0838,3.7822,3.81979,3.81979,3.81979,100000
000,15,0,0838,3.78272,3.81979,3.81979,3.81979,100000
000,16,0,0838,3.90969,3.93591,3.93591,3.93591,010100
000,17,0,0838,3.90642,3.93591,3.93591,3.93591,010100
000,18,0,0838,3.90741,3.93591,3.93591,3.93591,010100
000,19,0,0838,3.78843,3.81979,3.81979,3.81979,100000
000,20,0,0838,3.91524,3.93591,3.93591,3.93591,010100
000,21,0,0838,3.79456,3.81979,3.81979,3.81979,100000
000,22,0,0838,3.78818,3.81979,3.81979,3.81979,100000
000,23,0,0838,3.80429,3.81979,3.81979,3.81979,100000
000,24,0,0838,3.79909,3.81979,3.81979,3.81979,100000
000,25,0,0838,3.804,3.81979,3.81979,3.81979,100000
000,26,0,0838,3.91244,3.93591,3.93591,3.93591,010100
000,27,0,0838,3.80545,3.81979,3.81979,3.81979,100000
000,28,0,0838,3.90294,3.93591,3.93591,3.93591,010100
000,29,0,0838,3.91937,3.93591,3.93591,3.93591,010100
000,30,0,0838,3.90351,3.93591,3.93591,3.93591,010100
000,31,0,0838,3.80502,3.81979,3.81979,3.81979,100000
000,32,0,0838,3.80173,3.81979,3.81979,3.81979,100000
000,33,0,0838,3.79957,3.81979,3.81979,3.81979,100000
000,34,0,0838,3.91257,3.93591,3.93591,3.93591,010100
000,35,0,0838,3.80223,3.81979,3.81979,3.81979,100000
000,36,0,0838,3.77953,3.81979,3.81979,3.81979,100000
000,37,0,0838,3.79664,3.81979,3.81979,3.81979,100000
000,38,0,0838,3.91507,3.93591,3.93591,3.93591,010100
000,39,0,0838,3.92024,3.93591,3.93591,3.93591,010100
000,40,0,0838,3.92023,3.93591,3.93591,3.93591,010100
000,41,0,0838,3.78521,3.81979,3.81979,3.81979,100000
000,42,0,0838,3.79912,3.81979,3.81979,3.81979,100000
000,43,0,0838,3.90656,3.93591,3.93591,3.93591,010100
000,44,0,0838,3.79353,3.81979,3.81979,3.81979,100000
000,45,0,0838,3.91313,3.93591,3.93591,3.93591,010100
000,46,0,0838,3.8026,3.81979,3.81979,3.81979,100000
000,47,0,0838,3.91458,3.93591,3.93591,3.93591,010100
000,48,0,0838,3.90334,3.93591,3.93591,3.93591,010100
