"X","genotype_a","genotype_b","avg_fitness_a","avg_fitness_b","fitness_sd_a","fitness_sd_b","raw_p","adj_p","starting_fitness_a","starting_fitness_b","fitness_diff","mut_prob","pop_size","condition_num","genotype_a_x","genotype_b_x","starting_fitness_a_norm","starting_fitness_b_norm","avg_fitness_a_norm","avg_fitness_b_norm","sd_fitness_a_norm","sd_fitness_b_norm","is_signif","signif_marker","signif_text","text_x","x_min","x_max","y","text_y","mut_str","mut_factor"
6,0,32,1.77156,1.77156,0,0,1,1,1.000002,1.099998,0.099996,0.001,1000,3,0,1,1.000002,1.099998,1.77156,1.77156,0,0,FALSE,"","p=1",0.5,0.9,0.1,0.85,0.81,"0.001 (base)","0.001 (base)"
197,32,48,1.77156,1.77156,0,0,1,1,1.099998,1.210002,0.110004,0.001,1000,3,1,2,1.099998,1.210002,1.77156,1.77156,0,0,FALSE,"","p=1",1.5,1.9,1.1,0.85,0.81,"0.001 (base)","0.001 (base)"
198,32,0,1.77156,1.77156,0,0,1,1,1.099998,1.000002,-0.099996,0.001,1000,3,1,0,1.099998,1.000002,1.77156,1.77156,0,0,FALSE,"","p=1",0.5,0.1,0.9,0.85,0.81,"0.001 (base)","0.001 (base)"
292,48,56,1.77156,1.77156,0,0,1,1,1.210002,1.330998,0.120996,0.001,1000,3,2,3,1.210002,1.330998,1.77156,1.77156,0,0,FALSE,"","p=1",2.5,2.9,2.1,0.85,0.81,"0.001 (base)","0.001 (base)"
293,48,32,1.77156,1.77156,0,0,1,1,1.210002,1.099998,-0.110004,0.001,1000,3,2,1,1.210002,1.099998,1.77156,1.77156,0,0,FALSE,"","p=1",1.5,1.1,1.9,0.85,0.81,"0.001 (base)","0.001 (base)"
339,56,60,1.77156,1.77156,0,0,1,1,1.330998,1.464102,0.133104,0.001,1000,3,3,4,1.330998,1.464102,1.77156,1.77156,0,0,FALSE,"","p=1",3.5,3.9,3.1,0.85,0.81,"0.001 (base)","0.001 (base)"
340,56,48,1.77156,1.77156,0,0,1,1,1.330998,1.210002,-0.120996,0.001,1000,3,3,2,1.330998,1.210002,1.77156,1.77156,0,0,FALSE,"","p=1",2.5,2.1,2.9,0.85,0.81,"0.001 (base)","0.001 (base)"
362,60,62,1.77156,1.77156,0,0,1,1,1.464102,1.610508,0.146406,0.001,1000,3,4,5,1.464102,1.610508,1.77156,1.77156,0,0,FALSE,"","p=1",4.5,4.9,4.1,0.85,0.81,"0.001 (base)","0.001 (base)"
363,60,56,1.77156,1.77156,0,0,1,1,1.464102,1.330998,-0.133104,0.001,1000,3,4,3,1.464102,1.330998,1.77156,1.77156,0,0,FALSE,"","p=1",3.5,3.1,3.9,0.85,0.81,"0.001 (base)","0.001 (base)"
373,62,63,1.77156,1.77156,0,0,1,1,1.610508,1.77156,0.161052,0.001,1000,3,5,6,1.610508,1.77156,1.77156,1.77156,0,0,FALSE,"","p=1",5.5,5.9,5.1,0.85,0.81,"0.001 (base)","0.001 (base)"
374,62,60,1.77156,1.77156,0,0,1,1,1.610508,1.464102,-0.146406,0.001,1000,3,5,4,1.610508,1.464102,1.77156,1.77156,0,0,FALSE,"","p=1",4.5,4.1,4.9,0.85,0.81,"0.001 (base)","0.001 (base)"
379,63,62,1.77156,1.77156,0,0,1,1,1.77156,1.610508,-0.161052,0.001,1000,3,6,5,1.77156,1.610508,1.77156,1.77156,0,0,FALSE,"","p=1",5.5,5.1,5.9,0.85,0.81,"0.001 (base)","0.001 (base)"
6,0,32,1.77156,1.77156,0,0,1,1,1.000002,1.099998,0.099996,5e-04,1000,1,0,1,1.000002,1.099998,1.77156,1.77156,0,0,FALSE,"","p=1",0.5,0.9,0.1,0.95,0.91,"0.0005","0.0005"
197,32,48,1.77156,1.77156,0,0,1,1,1.099998,1.210002,0.110004,5e-04,1000,1,1,2,1.099998,1.210002,1.77156,1.77156,0,0,FALSE,"","p=1",1.5,1.9,1.1,0.95,0.91,"0.0005","0.0005"
198,32,0,1.77156,1.77156,0,0,1,1,1.099998,1.000002,-0.099996,5e-04,1000,1,1,0,1.099998,1.000002,1.77156,1.77156,0,0,FALSE,"","p=1",0.5,0.1,0.9,0.95,0.91,"0.0005","0.0005"
292,48,56,1.77156,1.77156,0,0,1,1,1.210002,1.330998,0.120996,5e-04,1000,1,2,3,1.210002,1.330998,1.77156,1.77156,0,0,FALSE,"","p=1",2.5,2.9,2.1,0.95,0.91,"0.0005","0.0005"
293,48,32,1.77156,1.77156,0,0,1,1,1.210002,1.099998,-0.110004,5e-04,1000,1,2,1,1.210002,1.099998,1.77156,1.77156,0,0,FALSE,"","p=1",1.5,1.1,1.9,0.95,0.91,"0.0005","0.0005"
