"","genotype_a","genotype_b","avg_fitness_a","avg_fitness_b","fitness_sd_a","fitness_sd_b","raw_p","adj_p","starting_fitness_a","starting_fitness_b","x_a","y_a","x_b","y_b","fitness_diff"
"1",0,1,3.76537,3.76537,0,0,1,1,2.4451201,1.9818311,0,0.5,0.166666666666667,0.142857142857143,-0.463289
"2",0,2,3.76537,3.76537,0,0,1,1,2.4451201,2.1485821,0,0.5,0.166666666666667,0.285714285714286,-0.296538
"3",0,4,3.76537,3.76537,0,0,1,1,2.4451201,2.4836451,0,0.5,0.166666666666667,0.428571428571429,0.0385249999999999
"4",0,8,3.76537,3.76537,0,0,1,1,2.4451201,3.0430671,0,0.5,0.166666666666667,0.571428571428571,0.597947
"5",0,16,3.76537,3.76537,0,0,1,1,2.4451201,3.128898,0,0.5,0.166666666666667,0.714285714285714,0.6837779
"6",0,32,3.76537,3.76537,0,0,1,1,2.4451201,2.2152221,0,0.5,0.166666666666667,0.857142857142857,-0.229898
"7",1,0,3.76537,3.76537,0,0,1,1,1.9818311,2.4451201,0.166666666666667,0.142857142857143,0,0.5,0.463289
"8",1,3,3.76537,3.76537,0,0,1,1,1.9818311,1.6852931,0.166666666666667,0.142857142857143,0.333333333333333,0.0625,-0.296538
"9",1,5,3.76537,3.76537,0,0,1,1,1.9818311,2.0203561,0.166666666666667,0.142857142857143,0.333333333333333,0.125,0.0385249999999999
"10",1,9,3.76537,3.76537,0,0,1,1,1.9818311,2.5797781,0.166666666666667,0.142857142857143,0.333333333333333,0.25,0.597947
"11",1,17,3.76537,3.76537,0,0,1,1,1.9818311,2.665609,0.166666666666667,0.142857142857143,0.333333333333333,0.4375,0.6837779
"12",1,33,3.76537,3.76537,0,0,1,1,1.9818311,1.7519331,0.166666666666667,0.142857142857143,0.333333333333333,0.6875,-0.229898
"13",2,3,3.76537,3.76537,0,0,1,1,2.1485821,1.6852931,0.166666666666667,0.285714285714286,0.333333333333333,0.0625,-0.463289
