rep_id,trial_id,starting_index,landscape_seed,avg_fitness,max_fitness,dom_fitness,final_max_org_fitness,final_max_org_genotype
000,1,0,0822,4.49103,4.51683,4.51683,4.51683,100000
000,2,0,0822,4.67647,4.69983,4.69983,4.69983,111010
000,3,0,0822,4.67069,4.69983,4.69983,4.69983,111010
000,4,0,0822,4.48716,4.51683,4.51683,4.51683,100000
000,5,0,0822,4.47733,4.51683,4.51683,4.51683,100000
000,6,0,0822,4.67325,4.69983,4.69983,4.69983,111010
000,7,0,0822,4.48113,4.51683,4.51683,4.51683,100000
000,8,0,0822,4.48648,4.51683,4.51683,4.51683,100000
000,9,0,0822,4.67733,4.69983,4.69983,4.69983,111010
000,10,0,0822,4.49203,4.51683,4.51683,4.51683,100000
000,11,0,0822,4.66544,4.69983,4.69983,4.69983,111010
000,12,0,0822,4.49511,4.51683,4.51683,4.51683,100000
000,13,0,0822,4.68054,4.69983,4.69983,4.69983,111010
000,14,0,0822,4.489,4.51683,4.51683,4.51683,100000
000,15,0,0822,4.49122,4.51683,4.51683,4.51683,100000
000,16,0,0822,4.4956,4.51683,4.51683,4.51683,100000
000,17,0,0822,4.65958,4.69983,4.69983,4.69983,111010
000,18,0,0822,4.49513,4.51683,4.51683,4.51683,100000
000,19,0,0822,4.5034,4.51683,4.51683,4.51683,100000
000,20,0,0822,4.48942,4.51683,4.51683,4.51683,100000
000,21,0,0822,4.67159,4.69983,4.69983,4.69983,111010
000,22,0,0822,4.49577,4.51683,4.51683,4.51683,100000
000,23,0,0822,4.67348,4.69983,4.69983,4.69983,111010
000,24,0,0822,4.48793,4.51683,4.51683,4.51683,100000
000,25,0,0822,4.48974,4.51683,4.51683,4.51683,100000
000,26,0,0822,4.66121,4.69983,4.69983,4.69983,111010
000,27,0,0822,4.66991,4.69983,4.69983,4.69983,111010
000,28,0,0822,4.49204,4.51683,4.51683,4.51683,100000
000,29,0,0822,4.49043,4.51683,4.51683,4.51683,100000
000,30,0,0822,4.49218,4.51683,4.51683,4.51683,100000
000,31,0,0822,4.49605,4.51683,4.51683,4.51683,100000
