rep_id,trial_id,starting_index,landscape_seed,avg_fitness,max_fitness,dom_fitness,final_max_org_fitness,final_max_org_genotype
001,1,1,25050805000000,4.7887,4.80352,4.80352,4.80352,110100
001,2,1,25050805000000,4.29732,4.33161,4.33161,4.33161,111110
001,3,1,25050805000000,3.2151,3.23265,3.23265,3.23265,001100
001,4,1,25050805000000,3.91011,3.92387,3.92387,3.92387,101000
001,5,1,25050805000000,2.52453,2.54815,2.54815,2.54815,001101
001,6,1,25050805000000,4.20087,4.22652,4.22652,4.22652,111010
001,7,1,25050805000000,4.3445,4.36851,4.36851,4.36851,000010
001,8,1,25050805000000,3.45245,3.47099,3.47099,3.47099,111101
001,9,1,25050805000000,3.29528,3.31499,3.31499,3.31499,011001
001,10,1,25050805000000,3.84491,3.86522,3.86522,3.86522,111011
001,11,1,25050805000000,4.3107,4.33072,4.33072,4.33072,001011
001,12,1,25050805000000,4.17579,4.20226,4.20226,4.20226,010101
001,13,1,25050805000000,3.55625,3.57344,3.57344,3.57344,100111
001,14,1,25050805000000,3.71328,3.7306,3.7306,3.7306,101110
001,15,1,25050805000000,4.36624,4.39205,4.39205,4.39205,110110
001,16,1,25050805000000,4.4889,4.52196,4.52196,4.52196,011000
001,17,1,25050805000000,3.63218,3.65262,3.65262,3.65262,110101
001,18,1,25050805000000,3.83335,3.85639,3.85639,3.85639,111110
001,19,1,25050805000000,3.31408,3.33691,3.33691,3.33691,111101
001,20,1,25050805000000,2.65134,2.66504,2.66504,2.66504,101001
001,21,1,25050805000000,3.50092,3.51429,3.51429,3.51429,100011
001,22,1,25050805000000,4.29156,4.31217,4.31217,4.31217,001010
001,23,1,25050805000000,4.14712,4.17116,4.17116,4.17116,111010
001,24,1,25050805000000,3.81626,3.83315,3.83315,3.83315,111100
001,25,1,25050805000000,4.64128,4.67658,4.67658,4.67658,001010
001,26,1,25050805000000,4.23719,4.26304,4.26304,4.26304,001101
001,27,1,25050805000000,3.92043,3.94645,3.94645,3.94645,110100
001,28,1,25050805000000,4.26934,4.29068,4.29068,4.29068,110100
001,29,1,25050805000000,4.18051,4.19016,4.19016,4.19016,011100
