"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","frac_1","frac_2","frac_3","frac_4","frac_5","frac_6","frac_7","frac_8"
"49",NA,48,1.4009168,0.0332326592381414,1,1.77156,100,1.210002,0.17,0.04,0.02,0.3,0.08,0.1,0.29,0
"50",NA,49,1.3517174,0.134079677455798,0,1.77156,100,0,0.17,0.06,0.01,0.29,0.12,0.12,0.18,0.05
"51",NA,50,1.3809507,0.136046207754051,0,1.77156,100,0,0.2,0.07,0.03,0.11,0.15,0.22,0.18,0.04
"52",NA,51,1.1322413,0.453619735876071,0,1.77156,100,0,0.06,0.07,0.01,0.1,0.07,0.26,0.19,0.24
"53",NA,52,1.4752572,0.117352215606222,0,1.77156,100,0,0.13,0.04,0.01,0.21,0.14,0.33,0.11,0.03
"54",NA,53,1.2990526,0.35187107087802,0,1.77156,100,0,0.1,0.05,0.02,0.11,0.12,0.34,0.11,0.15
"55",NA,54,1.6055263,0.111894396112434,0,1.77156,100,0,0.03,0.03,0,0.09,0.19,0.59,0.04,0.03
"56",NA,55,1.5422265,0.259623870225,0,1.77156,100,0,0.04,0.01,0,0.05,0.13,0.67,0.01,0.09
"57",NA,56,1.5169451,0.0312813615121111,1.1,1.77156,100,1.330998,0.05,0.02,0,0.35,0.19,0.22,0.17,0
"58",NA,57,1.4598779,0.169646293828879,0,1.77156,100,0,0.04,0.01,0,0.23,0.19,0.3,0.17,0.06
"59",NA,58,1.5986665,0.061069423225,0,1.77156,100,0,0.05,0.01,0.01,0.16,0.23,0.47,0.06,0.01
"60",NA,59,1.5414829,0.261312702087465,0,1.77156,100,0,0.02,0.01,0.01,0.06,0.11,0.68,0.02,0.09
"61",NA,60,1.6493093,0.0244091938045556,1.21,1.77156,100,1.464102,0.01,0,0,0.19,0.17,0.56,0.07,0
"62",NA,61,1.5957764,0.179031540734384,0,1.77156,100,0,0.01,0,0,0.06,0.2,0.64,0.03,0.06
"63",NA,62,1.7274775,0.00827094729166667,1.331,1.77156,100,1.610508,0,0,0,0.04,0.17,0.78,0.01,0
"64",NA,63,1.7350908,0.0062878015690505,1.331,1.77156,100,1.77156,0,0,0,0.01,0.18,0.8,0.01,0
