genotype,fitness
0,1
1,1
2,0
3,1
4,0
5,1
6,2
7,2
8,1
9,1
10,1
11,2
12,0
13,1
14,1
15,1
16,1
17,2
18,0
19,2
20,0
21,2
22,2
23,3
24,1
25,1
26,1
27,2
28,1
29,2
30,2
31,2
