"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","frac_1","frac_2","frac_3","frac_4"
"1",NA,0,1.3221656,0.00630840859862626,1,1.77156,100,1.000002,0.95,0.04,0.01,0
"2",NA,1,1.331,0,1.331,1.331,100,1.000002,1,0,0,0
"3",NA,2,1.331,0,1.331,1.331,100,0,1,0,0,0
"4",NA,3,1.331,0,1.331,1.331,100,1.000002,1,0,0,0
"5",NA,4,1.30452,0.00814514101010101,1,1.331,100,0,0.92,0.08,0,0
"6",NA,5,1.331,0,1.331,1.331,100,0,1,0,0,0
"7",NA,6,1.331,0,1.331,1.331,100,0,1,0,0,0
"8",NA,7,1.331,0,1.331,1.331,100,1.330998,1,0,0,0
"9",NA,8,1.3287856,0.0041689369380202,1,1.77156,100,0,0.97,0.02,0.01,0
"10",NA,9,1.331,0,1.331,1.331,100,0,1,0,0,0
"11",NA,10,1.3969676,0.0590968480871111,0,1.77156,100,0,0.74,0.04,0.21,0.01
"12",NA,11,1.331,0,1.331,1.331,100,0,1,0,0,0
"13",NA,12,1.5358488,0.053932205723798,1,1.77156,100,0,0.5,0.02,0.48,0
"14",NA,13,1.412492,0.0347160572282828,1,1.77156,100,0,0.78,0.02,0.2,0
"15",NA,14,1.5138208,0.0527553676114748,1,1.77156,100,0,0.55,0.02,0.43,0
"16",NA,15,1.331,0,1.331,1.331,100,0,1,0,0,0
"17",NA,16,1.4003012,0.0646834690409697,1,1.77156,100,0,0.58,0.15,0.27,0
"18",NA,17,1.331,0,1.331,1.331,100,0,1,0,0,0
"19",NA,18,1.3683896,0.0410232484725657,1,1.77156,100,0,0.74,0.1,0.16,0
"20",NA,19,1.331,0,1.331,1.331,100,0,1,0,0,0
"21",NA,20,1.457504,0.0923245489131313,0,1.77156,100,0,0.48,0.11,0.4,0.01
"22",NA,21,1.4521424,0.0442451938042828,1,1.77156,100,0,0.69,0.02,0.29,0
"23",NA,22,1.5104876,0.0653902057598384,1,1.77156,100,0,0.47,0.07,0.46,0
"24",NA,23,1.3354056,0.001940931136,1.331,1.77156,100,0,0.99,0,0.01,0
"25",NA,24,1.7517232,0.0135894234078384,1,1.77156,100,0,0.01,0.02,0.97,0
"26",NA,25,1.5038908,0.059643293053899,1,1.77156,100,0,0.52,0.05,0.43,0
"27",NA,26,1.63494,0.0625810016161616,1,1.77156,100,0,0.17,0.08,0.75,0
"28",NA,27,1.5754992,0.0535802383347071,1,1.77156,100,0,0.41,0.02,0.57,0
"29",NA,28,1.77156,0,1.77156,1.77156,100,0,0,0,1,0
"30",NA,29,1.6459888,0.0451123725278384,1,1.77156,100,0,0.25,0.02,0.73,0
"31",NA,30,1.77156,0,1.77156,1.77156,100,0,0,0,1,0
"32",NA,31,1.7671544,0.001940931136,1.331,1.77156,100,0,0.01,0,0.99,0
"33",NA,32,1.2569916,0.0569803729549899,1,1.77156,100,1.000002,0.52,0.37,0.11,0
"34",NA,33,1.2989956,0.0130993530471111,1,1.77156,100,0,0.88,0.11,0.01,0
"35",NA,34,1.2261292,0.0479885285448081,1,1.77156,100,0,0.52,0.41,0.07,0
"36",NA,35,1.331,0,1.331,1.331,100,0,1,0,0,0
"37",NA,36,1.277924,0.0664028942060606,1,1.77156,100,0,0.49,0.36,0.15,0
"38",NA,37,1.360674,0.0406920512767677,1,1.77156,100,0,0.74,0.11,0.15,0
"39",NA,38,1.445476,0.0686617729131313,1,1.77156,100,0,0.53,0.12,0.35,0
"40",NA,39,1.3354056,0.001940931136,1.331,1.77156,100,0,0.99,0,0.01,0
"41",NA,40,1.4982736,0.108087198342465,1,1.77156,100,0,0.2,0.24,0.56,0
"42",NA,41,1.4453828,0.0924594830627879,0,1.77156,100,0,0.49,0.12,0.38,0.01
"43",NA,42,1.5721428,0.076950021794101,1,1.77156,100,0,0.26,0.11,0.63,0
"44",NA,43,1.53804,0.0591549850505051,1,1.77156,100,0,0.46,0.04,0.5,0
"45",NA,44,1.77156,0,1.77156,1.77156,100,0,0,0,1,0
"46",NA,45,1.6073408,0.0773954742458182,0,1.77156,100,0,0.28,0.03,0.68,0.01
"47",NA,46,1.77156,0,1.77156,1.77156,100,0,0,0,1,0
"48",NA,47,1.77156,0,1.77156,1.77156,100,0,0,0,1,0
"49",NA,48,1.499346,0.121099174185859,1,1.77156,100,1.000002,0.11,0.29,0.6,0
"50",NA,49,1.4387168,0.13424204162198,1,1.77156,100,0,0.09,0.38,0.53,0
"51",NA,50,1.477318,0.11829792460202,1,1.77156,100,0,0.16,0.29,0.55,0
"52",NA,51,1.5093688,0.073035722944,1,1.77156,100,0,0.42,0.1,0.48,0
"53",NA,52,1.6922128,0.0495880132163232,1,1.77156,100,0,0.04,0.08,0.88,0
"54",NA,53,1.62832,0.0688149018181818,1,1.77156,100,0,0.15,0.1,0.75,0
