rep_id,trial_id,starting_index,landscape_seed,avg_fitness,max_fitness,dom_fitness
001,1,0,,0.995,1,1
001,2,0,,0.997,1,1
001,3,0,,0.999,1,1
001,4,0,,0.997,1,1
001,5,0,,0.996,1,1
001,6,0,,0.996,1,1
001,7,0,,0.996,1,1
001,8,0,,0.997,1,1
001,9,0,,0.995,1,1
001,10,0,,0.997,1,1
001,11,0,,0.999,1,1
001,12,0,,0.993,1,1
001,13,0,,0.997,1,1
001,14,0,,0.997,1,1
001,15,0,,0.996,1,1
001,16,0,,0.994,1,1
001,17,0,,0.996,1,1
001,18,0,,0.998,1,1
001,19,0,,0.998,1,1
001,20,0,,0.998,1,1
001,21,0,,0.997,1,1
001,22,0,,0.997,1,1
001,23,0,,0.995,1,1
001,24,0,,0.997,1,1
001,25,0,,0.998,1,1
001,26,0,,0.997,1,1
001,27,0,,0.991,1,1
001,28,0,,0.993,1,1
001,29,0,,0.994,1,1
001,30,0,,0.996,1,1
001,31,0,,0.993,1,1
001,32,0,,0.996,1,1
001,33,0,,0.996,1,1
001,34,0,,0.995,1,1
001,35,0,,0.997,1,1
001,36,0,,0.994,1,1
001,37,0,,0.996,1,1
001,38,0,,0.998,1,1
001,39,0,,0.999,1,1
001,40,0,,0.995,1,1
001,41,0,,0.997,1,1
001,42,0,,0.995,1,1
001,43,0,,0.993,1,1
001,44,0,,0.995,1,1
001,45,0,,0.995,1,1
001,46,0,,0.996,1,1
001,47,0,,0.993,1,1
001,48,0,,0.994,1,1
001,49,0,,0.993,1,1
001,50,0,,0.992,1,1
001,51,0,,0.995,1,1
001,52,0,,1.76293,1.77156,1.77156
001,53,0,,0.995,1,1
001,54,0,,0.999,1,1
001,55,0,,0.998,1,1
001,56,0,,0.996,1,1
001,57,0,,0.997,1,1
001,58,0,,0.995,1,1
001,59,0,,0.993,1,1
001,60,0,,0.994,1,1
001,61,0,,0.996,1,1
001,62,0,,0.992,1,1
001,63,0,,0.996,1,1
001,64,0,,0.995,1,1
001,65,0,,0.996,1,1
001,66,0,,0.997,1,1
001,67,0,,0.997,1,1
001,68,0,,0.995,1,1
001,69,0,,0.996,1,1
001,70,0,,0.992,1,1
001,71,0,,0.995,1,1
001,72,0,,0.994,1,1
001,73,0,,0.997,1,1
001,74,0,,0.994,1,1
001,75,0,,0.996,1,1
001,76,0,,1.76062,1.77156,1.77156
001,77,0,,0.995,1,1
001,78,0,,0.994,1,1
001,79,0,,0.997,1,1
001,80,0,,0.993,1,1
001,81,0,,0.998,1,1
001,82,0,,0.997,1,1
001,83,0,,0.998,1,1
001,84,0,,0.997,1,1
001,85,0,,0.996,1,1
001,86,0,,0.992,1,1
001,87,0,,0.996,1,1
001,88,0,,0.994,1,1
001,89,0,,0.996,1,1
001,90,0,,0.996,1,1
001,91,0,,0.994,1,1
001,92,0,,0.999,1,1
001,93,0,,0.997,1,1
001,94,0,,0.995,1,1
001,95,0,,0.995,1,1
001,96,0,,0.996,1,1
001,97,0,,0.996,1,1
001,98,0,,0.996,1,1
001,99,0,,0.993,1,1
001,100,0,,0.997,1,1
002,1,1,,0.997,1,1
002,2,1,,0.995,1,1
002,3,1,,0.998,1,1
002,4,1,,0.998,1,1
002,5,1,,0.996,1,1
002,6,1,,0.992,1,1
002,7,1,,0.994,1,1
002,8,1,,0.997,1,1
002,9,1,,0.996,1,1
002,10,1,,0.997,1,1
002,11,1,,0.993,1,1
002,12,1,,0.996,1,1
002,13,1,,0.997,1,1
002,14,1,,0.995,1,1
002,15,1,,0.998,1,1
002,16,1,,0.997,1,1
002,17,1,,0.996,1,1
002,18,1,,0.996,1,1
002,19,1,,0.999,1,1
002,20,1,,0.994,1,1
002,21,1,,0.997,1,1
002,22,1,,0.995,1,1
002,23,1,,0.992,1,1
002,24,1,,1,1,1
002,25,1,,0.996,1,1
002,26,1,,0.998,1,1
002,27,1,,0.997,1,1
002,28,1,,0.997,1,1
002,29,1,,0.993,1,1
002,30,1,,0.996,1,1
002,31,1,,0.993,1,1
002,32,1,,0.994,1,1
002,33,1,,0.997,1,1
002,34,1,,0.997,1,1
002,35,1,,0.997,1,1
002,36,1,,0.994,1,1
002,37,1,,0.997,1,1
002,38,1,,0.994,1,1
002,39,1,,0.994,1,1
002,40,1,,0.994,1,1
002,41,1,,0.996,1,1
002,42,1,,0.995,1,1
002,43,1,,0.999,1,1
002,44,1,,0.996,1,1
002,45,1,,0.989,1,1
002,46,1,,0.998,1,1
002,47,1,,0.996,1,1
002,48,1,,0.995,1,1
002,49,1,,0.994,1,1
002,50,1,,0.995,1,1
002,51,1,,0.995,1,1
002,52,1,,0.996,1,1
002,53,1,,0.996,1,1
002,54,1,,0.994,1,1
002,55,1,,0.992,1,1
002,56,1,,0.992,1,1
002,57,1,,0.997,1,1
002,58,1,,0.997,1,1
002,59,1,,0.994,1,1
002,60,1,,0.994,1,1
002,61,1,,0.994,1,1
002,62,1,,0.996,1,1
002,63,1,,0.995,1,1
002,64,1,,0.995,1,1
002,65,1,,0.997,1,1
002,66,1,,0.996,1,1
002,67,1,,0.996,1,1
002,68,1,,0.997,1,1
002,69,1,,0.994,1,1
002,70,1,,0.996,1,1
002,71,1,,0.994,1,1
002,72,1,,0.995,1,1
002,73,1,,0.998,1,1
002,74,1,,0.992,1,1
002,75,1,,0.994,1,1
002,76,1,,0.997,1,1
002,77,1,,0.995,1,1
002,78,1,,0.995,1,1
002,79,1,,0.996,1,1
002,80,1,,0.996,1,1
002,81,1,,0.998,1,1
002,82,1,,0.995,1,1
002,83,1,,0.997,1,1
002,84,1,,0.994,1,1
002,85,1,,0.994,1,1
002,86,1,,0.997,1,1
002,87,1,,0.997,1,1
002,88,1,,0.996,1,1
002,89,1,,0.999,1,1
002,90,1,,0.998,1,1
002,91,1,,0.992,1,1
002,92,1,,0.997,1,1
002,93,1,,0.995,1,1
002,94,1,,0.998,1,1
002,95,1,,0.995,1,1
002,96,1,,0.994,1,1
002,97,1,,0.996,1,1
002,98,1,,0.998,1,1
002,99,1,,0.998,1,1
002,100,1,,0.994,1,1
003,1,2,,0.998,1,1
003,2,2,,0.996,1,1
003,3,2,,0.996,1,1
003,4,2,,0.997,1,1
003,5,2,,0.997,1,1
003,6,2,,0.998,1,1
003,7,2,,0.995,1,1
003,8,2,,0.994,1,1
003,9,2,,0.995,1,1
003,10,2,,0.996,1,1
003,11,2,,0.997,1,1
003,12,2,,0.992,1,1
003,13,2,,0.995,1,1
003,14,2,,0.998,1,1
003,15,2,,0.999,1,1
003,16,2,,0.991,1,1
003,17,2,,0.996,1,1
003,18,2,,0.992,1,1
003,19,2,,0.995,1,1
003,20,2,,1,1,1
003,21,2,,0.994,1,1
003,22,2,,0.995,1,1
003,23,2,,0.995,1,1
003,24,2,,0.996,1,1
003,25,2,,1.76016,1.77156,1.77156
003,26,2,,0.998,1,1
003,27,2,,0.995,1,1
003,28,2,,0.998,1,1
003,29,2,,0.995,1,1
003,30,2,,0.995,1,1
003,31,2,,0.994,1,1
003,32,2,,0.997,1,1
003,33,2,,0.997,1,1
003,34,2,,0.998,1,1
003,35,2,,0.996,1,1
003,36,2,,0.997,1,1
003,37,2,,0.996,1,1
003,38,2,,0.995,1,1
003,39,2,,0.994,1,1
003,40,2,,0.991,1,1
003,41,2,,0.995,1,1
003,42,2,,0.998,1,1
003,43,2,,0.994,1,1
003,44,2,,0.993,1,1
003,45,2,,0.994,1,1
003,46,2,,0.998,1,1
003,47,2,,0.996,1,1
003,48,2,,0.992,1,1
003,49,2,,0.998,1,1
003,50,2,,0.993,1,1
003,51,2,,0.988,1,1
003,52,2,,0.996,1,1
003,53,2,,0.996,1,1
003,54,2,,0.997,1,1
003,55,2,,0.997,1,1
003,56,2,,0.997,1,1
