"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","x","y","frac_1","frac_2","frac_3"
"1",NA,0,1.21,0,1.21,1.21,100,1.210002,0,0.5,1,0,0
"2",NA,1,1.21,0,1.21,1.21,100,1.000002,0.166666666666667,0.142857142857143,1,0,0
"3",NA,2,1.21,0,1.21,1.21,100,1.000002,0.166666666666667,0.285714285714286,1,0,0
"4",NA,3,1.215082,0.0012782924,1.21,1.4641,100,1.000002,0.333333333333333,0.0625,0.98,0.02,0
"5",NA,4,1.21,0,1.21,1.21,100,1.000002,0.166666666666667,0.428571428571429,1,0,0
"6",NA,5,1.220164,0.0025044096,1.21,1.4641,100,1.000002,0.333333333333333,0.125,0.96,0.04,0
"7",NA,6,1.212541,0.0006456681,1.21,1.4641,100,1.000002,0.333333333333333,0.1875,0.99,0.01,0
"8",NA,7,1.382788,0.0141916544,1.21,1.4641,100,1.000002,0.5,0.0476190476190476,0.32,0.68,0
"9",NA,8,1.21,0,1.21,1.21,100,1.000002,0.166666666666667,0.571428571428571,1,0,0
"10",NA,9,1.225246,0.0036783516,1.21,1.4641,100,1.000002,0.333333333333333,0.25,0.94,0.06,0
"11",NA,10,1.212541,0.0006456681,1.21,1.4641,100,1.000002,0.333333333333333,0.3125,0.99,0.01,0
"12",NA,11,1.349755,0.0161417025,1.21,1.4641,100,1.000002,0.5,0.0952380952380952,0.45,0.55,0
"13",NA,12,1.222705,0.0030979025,1.21,1.4641,100,1.000002,0.333333333333333,0.375,0.95,0.05,0
"14",NA,13,1.373065,0.0159790225,1,1.4641,100,1.000002,0.5,0.142857142857143,0.34,0.65,0.01
"15",NA,14,1.367542,0.0153655964,1.21,1.4641,100,1.000002,0.5,0.19047619047619,0.38,0.62,0
"16",NA,15,1.4641,0,1.4641,1.4641,100,1.000002,0.666666666666667,0.0625,0,1,0
"17",NA,16,1.21,0,1.21,1.21,100,1.000002,0.166666666666667,0.714285714285714,1,0,0
"18",NA,17,1.225246,0.0036783516,1.21,1.4641,100,1.000002,0.333333333333333,0.4375,0.94,0.06,0
"19",NA,18,1.212541,0.0006456681,1.21,1.4641,100,1.000002,0.333333333333333,0.5,0.99,0.01,0
"20",NA,19,1.352737,0.0170406369,1,1.4641,100,1.000002,0.5,0.238095238095238,0.42,0.57,0.01
"21",NA,20,1.220164,0.0025044096,1.21,1.4641,100,1.000002,0.333333333333333,0.5625,0.96,0.04,0
"22",NA,21,1.367542,0.0153655964,1.21,1.4641,100,1.000002,0.5,0.285714285714286,0.38,0.62,0
