genotype,fitness
0,1.000002
1,1.099998
2,1.099998
3,1.210002
4,1.099998
5,1.210002
6,1.210002
7,1.330998
8,1.099998
9,1.210002
10,1.210002
11,1.330998
12,1.210002
13,1.330998
14,1.330998
15,1.464102
16,1.099998
17,1.210002
18,1.210002
19,1.330998
20,1.210002
21,1.330998
22,1.330998
23,1.464102
24,1.210002
25,1.330998
26,1.330998
27,1.464102
28,1.330998
29,1.464102
30,1.464102
31,1.610508
32,1.099998
33,1.210002
34,1.210002
35,1.330998
36,1.210002
37,1.330998
38,1.330998
39,1.464102
40,1.210002
41,1.330998
42,1.330998
43,1.464102
44,1.330998
45,1.464102
46,1.464102
47,1.610508
48,1.210002
49,1.330998
50,1.330998
51,1.464102
52,1.330998
53,1.464102
54,1.464102
55,1.610508
56,1.330998
57,1.464102
58,1.464102
59,1.610508
60,1.464102
61,1.610508
62,1.610508
63,1.7715600000000002
