"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","x","y","frac_1","frac_2","frac_3"
"1",NA,0,1.21,0,1.21,1.21,100,1.210002,0,0.5,1,0,0
"2",NA,1,1.2058,0.000873090909090909,1,1.21,100,1.000002,0.166666666666667,0.142857142857143,0.98,0.02,0
"3",NA,2,1.217623,0.0018978729,1.21,1.4641,100,1.000002,0.166666666666667,0.285714285714286,0.97,0,0.03
"4",NA,3,1.260484,0.0153054546909091,1,1.4641,100,1.000002,0.333333333333333,0.0625,0.71,0.05,0.24
"5",NA,4,1.212541,0.0006456681,1.21,1.4641,100,1.000002,0.166666666666667,0.428571428571429,0.99,0,0.01
"6",NA,5,1.252861,0.0140676411909091,1,1.4641,100,1.000002,0.333333333333333,0.125,0.74,0.05,0.21
"7",NA,6,1.258825,0.0170149715909091,1,1.4641,100,1.000002,0.333333333333333,0.1875,0.68,0.07,0.25
"8",NA,7,1.319368,0.0218956660363636,1,1.4641,100,1.000002,0.5,0.0476190476190476,0.46,0.06,0.48
"9",NA,8,1.212982,0.0017408524,1,1.4641,100,1.000002,0.166666666666667,0.571428571428571,0.97,0.01,0.02
"10",NA,9,1.273189,0.0171076011909091,1,1.4641,100,1.000002,0.333333333333333,0.25,0.66,0.05,0.29
"11",NA,10,1.265566,0.0160654446909091,1,1.4641,100,1.000002,0.333333333333333,0.3125,0.69,0.05,0.26
"12",NA,11,1.30765,0.0292140227272727,1,1.4641,100,1.000002,0.5,0.0952380952380952,0.36,0.14,0.5
"13",NA,12,1.241038,0.0138845134909091,1,1.4641,100,1.000002,0.333333333333333,0.375,0.75,0.07,0.18
"14",NA,13,1.329091,0.0211630371909091,1,1.4641,100,1.000002,0.5,0.142857142857143,0.44,0.05,0.51
"15",NA,14,1.300363,0.0238053096272727,1,1.4641,100,1.000002,0.5,0.19047619047619,0.48,0.09,0.43
"16",NA,15,1.39438,0.0218449127272727,1,1.4641,100,1.000002,0.666666666666667,0.0625,0.11,0.09,0.8
"17",NA,16,1.212982,0.0017408524,1,1.4641,100,1.000002,0.166666666666667,0.714285714285714,0.97,0.01,0.02
"18",NA,17,1.264348,0.0188414158545455,1,1.4641,100,1.000002,0.333333333333333,0.4375,0.64,0.08,0.28
"19",NA,18,1.244461,0.0165055248272727,1,1.4641,100,1.000002,0.333333333333333,0.5,0.7,0.09,0.21
"20",NA,19,1.329091,0.0211630371909091,1,1.4641,100,1.000002,0.5,0.238095238095238,0.44,0.05,0.51
"21",NA,20,1.230097,0.0155792609,1,1.4641,100,1.000002,0.333333333333333,0.5625,0.72,0.11,0.17
"22",NA,21,1.333837,0.0261388678090909,1,1.4641,100,1.000002,0.5,0.285714285714286,0.33,0.1,0.57
"23",NA,22,1.315168,0.0236967278545455,1,1.4641,100,1.000002,0.5,0.333333333333333,0.44,0.08,0.48
"24",NA,23,1.410844,0.0167109172363636,1,1.4641,100,1.000002,0.666666666666667,0.125,0.1,0.06,0.84
"25",NA,24,1.247443,0.0180387758090909,1,1.4641,100,1.000002,0.333333333333333,0.625,0.67,0.1,0.23
"26",NA,25,1.292509,0.0339899008272727,1,1.4641,100,1.000002,0.5,0.380952380952381,0.31,0.2,0.49
"27",NA,26,1.302463,0.0229720423545455,1,1.4641,100,1.000002,0.5,0.428571428571429,0.49,0.08,0.43
"28",NA,27,1.422226,0.0119298803272727,1,1.4641,100,1.000002,0.666666666666667,0.1875,0.11,0.03,0.86
"29",NA,28,1.287763,0.0286178223545454,1,1.4641,100,1.000002,0.5,0.476190476190476,0.42,0.15,0.43
"30",NA,29,1.422226,0.0119298803272727,1,1.4641,100,1.000002,0.666666666666667,0.25,0.11,0.03,0.86
"31",NA,30,1.412503,0.0144919063545455,1,1.4641,100,1.000002,0.666666666666667,0.3125,0.13,0.04,0.83
"32",NA,31,1.4641,0,1.4641,1.4641,100,1.000002,0.833333333333333,0.142857142857143,0,0,1
"33",NA,32,1.210441,0.0010974481,1,1.4641,100,1.000002,0.166666666666667,0.857142857142857,0.98,0.01,0.01
"34",NA,33,1.24822,0.0142410036363636,1,1.4641,100,1.000002,0.333333333333333,0.6875,0.74,0.06,0.2
"35",NA,34,1.241479,0.0149543095545455,1,1.4641,100,1.000002,0.333333333333333,0.75,0.73,0.08,0.19
"36",NA,35,1.346878,0.0211294574909091,1,1.4641,100,1.000002,0.5,0.523809523809524,0.37,0.05,0.58
"37",NA,36,1.263907,0.0177919939909091,1,1.4641,100,1.000002,0.333333333333333,0.8125,0.66,0.07,0.27
"38",NA,37,1.323232,0.0249719751272727,1,1.4641,100,1.000002,0.5,0.571428571428571,0.39,0.09,0.52
"39",NA,38,1.308868,0.0263315024,1,1.4641,100,1.000002,0.5,0.619047619047619,0.41,0.11,0.48
"40",NA,39,1.412062,0.0135744771272727,1,1.4641,100,1.000002,0.666666666666667,0.375,0.15,0.03,0.82
"41",NA,40,1.260925,0.0163579261363636,1,1.4641,100,1.000002,0.333333333333333,0.875,0.69,0.06,0.25
"42",NA,41,1.297927,0.0295254983545454,1,1.4641,100,1.000002,0.5,0.666666666666667,0.38,0.15,0.47
"43",NA,42,1.316932,0.0277093824,1,1.4641,100,1.000002,0.5,0.714285714285714,0.36,0.12,0.52
"44",NA,43,1.375816,0.0275846765090909,1,1.4641,100,1.000002,0.666666666666667,0.4375,0.11,0.13,0.76
"45",NA,44,1.309309,0.0273408681,1,1.4641,100,1.000002,0.5,0.761904761904762,0.39,0.12,0.49
"46",NA,45,1.405321,0.0165190131909091,1,1.4641,100,1.000002,0.666666666666667,0.5,0.14,0.05,0.81
"47",NA,46,1.398139,0.0184419157363636,1,1.4641,100,1.000002,0.666666666666667,0.5625,0.15,0.06,0.79
"48",NA,47,1.461559,0.0006456681,1.21,1.4641,100,1.000002,0.833333333333333,0.285714285714286,0.01,0,0.99
"49",NA,48,1.23562,0.01772624,1,1.4641,100,1.000002,0.333333333333333,0.9375,0.68,0.12,0.2
"50",NA,49,1.285999,0.0245012201,1,1.4641,100,1.000002,0.5,0.80952380952381,0.5,0.11,0.39
"51",NA,50,1.337596,0.0231956306909091,1,1.4641,100,1.000002,0.5,0.857142857142857,0.37,0.07,0.56
"52",NA,51,1.39648,0.0206127854545455,1,1.4641,100,1.000002,0.666666666666667,0.625,0.12,0.08,0.8
"53",NA,52,1.31185,0.02747675,1,1.4641,100,1.000002,0.5,0.904761904761905,0.38,0.12,0.5
"54",NA,53,1.393939,0.0209113375545454,1,1.4641,100,1.000002,0.666666666666667,0.6875,0.13,0.08,0.79
"55",NA,54,1.406203,0.0183654899909091,1,1.4641,100,1.000002,0.666666666666667,0.75,0.1,0.07,0.83
"56",NA,55,1.4641,0,1.4641,1.4641,100,1.000002,0.833333333333333,0.428571428571429,0,0,1
"57",NA,56,1.318591,0.0258051190090909,1,1.4641,100,1.000002,0.5,0.952380952380952,0.39,0.1,0.51
"58",NA,57,1.419244,0.0114495645090909,1,1.4641,100,1.000002,0.666666666666667,0.8125,0.14,0.02,0.84
"59",NA,58,1.409521,0.0139530168272727,1,1.4641,100,1.000002,0.666666666666667,0.875,0.16,0.03,0.81
"60",NA,59,1.4641,0,1.4641,1.4641,100,1.000002,0.833333333333333,0.571428571428571,0,0,1
"61",NA,60,1.40278,0.0168629490909091,1,1.4641,100,1.000002,0.666666666666667,0.9375,0.15,0.05,0.8
"62",NA,61,1.4641,0,1.4641,1.4641,100,1.000002,0.833333333333333,0.714285714285714,0,0,1
"63",NA,62,1.459459,0.0021538881,1,1.4641,100,1.000002,0.833333333333333,0.857142857142857,0,0.01,0.99
"64",NA,63,1.4641,0,1.4641,1.4641,100,1.464102,1,0.5,0,0,1
