"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","frac_1","frac_2","frac_3","frac_4","frac_5","frac_6","frac_7","frac_8"
"1",NA,0,1.7668749,0.00119468422120202,1.4641,1.77156,100,1.000002,0.98,0.01,0.01,0,0,0,0,0
"2",NA,1,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"3",NA,2,1.7684854,0.000945316516,1.4641,1.77156,100,0,0.99,0,0.01,0,0,0,0,0
"4",NA,3,0.2500319,0.340122683304434,0,1.77156,100,0,0.08,0.01,0.02,0.84,0.03,0.02,0,0
"5",NA,4,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"6",NA,5,0.2590377,0.363880560611828,0,1.77156,100,0,0.09,0.03,0.02,0.84,0,0,0.02,0
"7",NA,6,0.3570537,0.468663258407384,0,1.77156,100,0,0.14,0.03,0,0.78,0.01,0.02,0.02,0
"8",NA,7,0.1045619,0.152598574421606,0,1.77156,100,0,0.03,0.01,0,0.93,0,0.01,0.02,0
"9",NA,8,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"10",NA,9,0.3222372,0.408672967270869,0,1.77156,100,0,0.1,0.02,0.01,0.79,0.03,0.03,0.02,0
"11",NA,10,0.2893869,0.396743664249889,0,1.77156,100,0,0.11,0.03,0,0.82,0.02,0,0.02,0
"12",NA,11,0.0920978,0.138305291255717,0,1.77156,100,0,0.03,0,0.01,0.94,0,0.01,0.01,0
"13",NA,12,0.5857129,0.657184359103626,0,1.77156,100,0,0.26,0.03,0.02,0.65,0.02,0.01,0,0.01
"14",NA,13,0.1105129,0.166408259234939,0,1.77156,100,0,0.03,0.01,0.01,0.93,0,0.02,0,0
"15",NA,14,0.3747015,0.511148413012879,0,1.77156,100,0,0.19,0.01,0,0.78,0,0,0.02,0
"16",NA,15,0.2601184,0.390261509783273,0,1.77156,100,0,0.14,0,0,0.85,0.01,0,0,0
"17",NA,16,1.768339,0.000513502231313131,1.61051,1.77156,100,0,0.98,0.02,0,0,0,0,0,0
"18",NA,17,0.3207479,0.425201917418778,0,1.77156,100,0,0.11,0.03,0.01,0.8,0.03,0.02,0,0
"19",NA,18,0.3923959,0.508521174052717,0,1.77156,100,0,0.18,0.01,0,0.76,0.01,0.01,0.02,0.01
"20",NA,19,0.0456666,0.0691417253337778,0,1.77156,100,0,0.01,0,0.01,0.97,0,0.01,0,0
"21",NA,20,0.5611166,0.629845270000444,0,1.77156,100,0,0.22,0.04,0.03,0.66,0.01,0.03,0.01,0
"22",NA,21,0.0810978,0.128007464589051,0,1.77156,100,0,0.03,0,0.01,0.95,0,0.01,0,0
"23",NA,22,0.3506057,0.475811655762131,0,1.77156,100,0,0.16,0.01,0.01,0.79,0.01,0.01,0.01,0
"24",NA,23,0.3486964,0.494295493950545,0,1.77156,100,0,0.19,0,0,0.8,0.01,0,0,0
"25",NA,24,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"26",NA,25,0.407904,0.539380484549495,0,1.77156,100,0,0.2,0,0.02,0.76,0,0.01,0.01,0
"27",NA,26,0.5784656,0.688041438618828,0,1.77156,100,0,0.31,0,0.02,0.67,0,0,0,0
"28",NA,27,0.3011652,0.447304791940364,0,1.77156,100,0,0.17,0,0,0.83,0,0,0,0
"29",NA,28,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"30",NA,29,0.4881307,0.620402567358091,0,1.77156,100,0,0.24,0.03,0.01,0.72,0,0,0,0
"31",NA,30,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"32",NA,31,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"33",NA,32,1.77156,0,1.77156,1.77156,100,1.099998,1,0,0,0,0,0,0,0
"34",NA,33,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"35",NA,34,1.7667285,0.000762393618939393,1.61051,1.77156,100,0,0.97,0.03,0,0,0,0,0,0
"36",NA,35,0.2847274,0.404609057498222,0,1.77156,100,0,0.12,0.02,0,0.83,0,0.03,0,0
"37",NA,36,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"38",NA,37,0.3933986,0.481812280862667,0,1.77156,100,0,0.12,0.04,0.01,0.75,0.02,0.05,0.01,0
"39",NA,38,0.4261532,0.558892448001778,0,1.77156,100,0,0.22,0,0,0.75,0.01,0.01,0.01,0
"40",NA,39,0.468531,0.604667473271717,0,1.77156,100,0,0.25,0,0.01,0.73,0,0,0.01,0
"41",NA,40,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"42",NA,41,0.3863164,0.514376340883879,0,1.77156,100,0,0.19,0,0,0.77,0.01,0.02,0.01,0
"43",NA,42,0.5307941,0.618083665592111,0,1.77156,100,0,0.23,0.03,0,0.68,0.04,0.02,0,0
"44",NA,43,0.3335218,0.479914714214909,0,1.77156,100,0,0.18,0,0.01,0.81,0,0,0,0
"45",NA,44,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"46",NA,45,0.4354098,0.577179308981778,0,1.77156,100,0,0.23,0,0.01,0.75,0,0.01,0,0
"47",NA,46,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"48",NA,47,1.7538444,0.031384248336,0,1.77156,100,0,0.99,0,0,0.01,0,0,0,0
"49",NA,48,1.77156,0,1.77156,1.77156,100,1.210002,1,0,0,0,0,0,0,0
"50",NA,49,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"51",NA,50,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"52",NA,51,0.5624029,0.656221701828879,0,1.77156,100,0,0.26,0.03,0.02,0.67,0.02,0,0,0
"53",NA,52,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"54",NA,53,0.6123142,0.65708583886905,0,1.77156,100,0,0.25,0.02,0.04,0.63,0.01,0.05,0,0
"55",NA,54,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"56",NA,55,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"57",NA,56,1.77156,0,1.77156,1.77156,100,1.330998,1,0,0,0,0,0,0,0
"58",NA,57,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"59",NA,58,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"60",NA,59,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"61",NA,60,1.77156,0,1.77156,1.77156,100,1.464102,1,0,0,0,0,0,0,0
"62",NA,61,1.77156,0,1.77156,1.77156,100,0,1,0,0,0,0,0,0,0
"63",NA,62,1.77156,0,1.77156,1.77156,100,1.610508,1,0,0,0,0,0,0,0
"64",NA,63,1.77156,0,1.77156,1.77156,100,1.77156,1,0,0,0,0,0,0,0
