"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","frac_1","frac_2","frac_3","frac_4"
"1",NA,0,1.30783,0.00720446575757576,1,1.331,100,1.000002,0.93,0.07,0,0
"2",NA,1,1.331,0,1.331,1.331,100,1.000002,1,0,0,0
"3",NA,2,1.32438,0.00216908646464646,1,1.331,100,0,0.98,0.02,0,0
"4",NA,3,1.331,0,1.331,1.331,100,1.000002,1,0,0,0
"5",NA,4,1.30452,0.00814514101010101,1,1.331,100,0,0.92,0.08,0,0
"6",NA,5,1.331,0,1.331,1.331,100,0,1,0,0,0
"7",NA,6,1.331,0,1.331,1.331,100,0,1,0,0,0
"8",NA,7,1.331,0,1.331,1.331,100,1.330998,1,0,0,0
"9",NA,8,1.3254756,0.005249739536,1,1.77156,100,0,0.96,0.03,0.01,0
"10",NA,9,1.331,0,1.331,1.331,100,0,1,0,0,0
"11",NA,10,1.3705108,0.0604607546781414,0,1.77156,100,0,0.73,0.08,0.18,0.01
"12",NA,11,1.331,0,1.331,1.331,100,0,1,0,0,0
"13",NA,12,1.509392,0.0627190459151515,1,1.77156,100,0,0.49,0.06,0.45,0
"14",NA,13,1.4223988,0.0399742479662222,1,1.77156,100,0,0.74,0.03,0.23,0
"15",NA,14,1.5116064,0.0577421598616566,1,1.77156,100,0,0.52,0.04,0.44,0
"16",NA,15,1.331,0,1.331,1.331,100,0,1,0,0,0
"17",NA,16,1.3506976,0.0651262408184242,1,1.77156,100,0,0.57,0.22,0.21,0
"18",NA,17,1.331,0,1.331,1.331,100,0,1,0,0,0
"19",NA,18,1.3705576,0.0572974849881212,1,1.77156,100,0,0.63,0.16,0.21,0
"20",NA,19,1.331,0,1.331,1.331,100,0,1,0,0,0
"21",NA,20,1.4752196,0.0715460540927677,1,1.77156,100,0,0.48,0.11,0.41,0
"22",NA,21,1.4751728,0.0747192190991515,0,1.77156,100,0,0.58,0.03,0.38,0.01
"23",NA,22,1.4741472,0.0584818092567273,1,1.77156,100,0,0.57,0.06,0.37,0
"24",NA,23,1.331,0,1.331,1.331,100,0,1,0,0,0
"25",NA,24,1.77156,0,1.77156,1.77156,100,0,0,0,1,0
"26",NA,25,1.5391356,0.0617627373218586,1,1.77156,100,0,0.44,0.05,0.51,0
"27",NA,26,1.6151264,0.0603738355626667,1,1.77156,100,0,0.25,0.06,0.69,0
"28",NA,27,1.5644036,0.0726570839626667,0,1.77156,100,0,0.43,0,0.56,0.01
"29",NA,28,1.77156,0,1.77156,1.77156,100,0,0,0,1,0
"30",NA,29,1.6482032,0.0395244158603636,1.331,1.77156,100,0,0.28,0,0.72,0
"31",NA,30,1.77156,0,1.77156,1.77156,100,0,0,0,1,0
"32",NA,31,1.77156,0,1.77156,1.77156,100,0,0,0,1,0
"33",NA,32,1.2658028,0.0621404039193535,1,1.77156,100,1.000002,0.5,0.37,0.13,0
"34",NA,33,1.3121892,0.0299664866215758,1,1.77156,100,0,0.78,0.15,0.07,0
"35",NA,34,1.2735184,0.0639503652176162,1,1.77156,100,0,0.5,0.36,0.14,0
"36",NA,35,1.331,0,1.331,1.331,100,0,1,0,0,0
"37",NA,36,1.294474,0.0623674023878788,1,1.77156,100,0,0.54,0.31,0.15,0
"38",NA,37,1.3285996,0.0691775012685253,0,1.77156,100,0,0.65,0.18,0.16,0.01
"39",NA,38,1.4763152,0.0742928488494546,1,1.77156,100,0,0.46,0.12,0.42,0
"40",NA,39,1.331,0,1.331,1.331,100,0,1,0,0,0
"41",NA,40,1.507108,0.0986357422383839,1,1.77156,100,0,0.25,0.2,0.55,0
"42",NA,41,1.4674808,0.083194737453899,1,1.77156,100,0,0.41,0.16,0.43,0
"43",NA,42,1.5688328,0.0796581220324849,1,1.77156,100,0,0.25,0.12,0.63,0
"44",NA,43,1.5358256,0.0642501227481212,1,1.77156,100,0,0.43,0.06,0.51,0
"45",NA,44,1.77156,0,1.77156,1.77156,100,0,0,0,1,0
"46",NA,45,1.5885996,0.086902192985697,0,1.77156,100,0,0.27,0.06,0.66,0.01
