genotype,fitness
0,1.210002
1,1.099998
2,1.099998
3,1.000002
4,1.099998
5,1.000002
6,1.000002
7,1.099998
8,1.099998
9,1.000002
10,1.000002
11,1.099998
12,1.000002
13,1.099998
14,1.099998
15,1.210002
16,1.099998
17,1.000002
18,1.000002
19,1.099998
20,1.000002
21,1.099998
22,1.099998
23,1.210002
24,1.000002
25,1.099998
26,1.099998
27,1.210002
28,1.099998
29,1.210002
30,1.210002
31,1.330998
32,1.099998
33,1.000002
34,1.000002
35,1.099998
36,1.000002
37,1.099998
38,1.099998
39,1.210002
40,1.000002
41,1.099998
42,1.099998
43,1.210002
44,1.099998
45,1.210002
46,1.210002
47,1.330998
48,1.000002
49,1.099998
50,1.099998
51,1.210002
52,1.099998
53,1.210002
54,1.210002
55,1.330998
56,1.099998
57,1.210002
58,1.210002
59,1.330998
60,1.210002
61,1.330998
62,1.330998
63,1.464102
