rep_id,trial_id,starting_index,landscape_seed,avg_fitness,max_fitness,dom_fitness,final_max_org_fitness,final_max_org_genotype
000,1,0,0809,3.80111,3.82088,3.82088,3.82088,101111
000,2,0,0809,3.79596,3.82088,3.82088,3.82088,101111
000,3,0,0809,3.79099,3.82088,3.82088,3.82088,101111
000,4,0,0809,3.7806,3.82088,3.82088,3.82088,101111
000,5,0,0809,3.79207,3.82088,3.82088,3.82088,101111
000,6,0,0809,3.7934,3.82088,3.82088,3.82088,101111
000,7,0,0809,3.80275,3.82088,3.82088,3.82088,101111
000,8,0,0809,3.80583,3.82088,3.82088,3.82088,101111
000,9,0,0809,3.79513,3.82088,3.82088,3.82088,101111
000,10,0,0809,3.78592,3.82088,3.82088,3.82088,101111
000,11,0,0809,3.78681,3.82088,3.82088,3.82088,101111
000,12,0,0809,3.79622,3.82088,3.82088,3.82088,101111
000,13,0,0809,3.79857,3.82088,3.82088,3.82088,101111
000,14,0,0809,3.7995,3.82088,3.82088,3.82088,101111
000,15,0,0809,3.80616,3.82088,3.82088,3.82088,101111
000,16,0,0809,3.79745,3.82088,3.82088,3.82088,101111
000,17,0,0809,3.80311,3.82088,3.82088,3.82088,101111
000,18,0,0809,3.8002,3.82088,3.82088,3.82088,101111
000,19,0,0809,3.78441,3.82088,3.82088,3.82088,101111
000,20,0,0809,3.79611,3.82088,3.82088,3.82088,101111
000,21,0,0809,3.79818,3.82088,3.82088,3.82088,101111
000,22,0,0809,3.80294,3.82088,3.82088,3.82088,101111
000,23,0,0809,3.79203,3.82088,3.82088,3.82088,101111
000,24,0,0809,3.79978,3.82088,3.82088,3.82088,101111
000,25,0,0809,3.79577,3.82088,3.82088,3.82088,101111
000,26,0,0809,3.80084,3.82088,3.82088,3.82088,101111
000,27,0,0809,3.79627,3.82088,3.82088,3.82088,101111
000,28,0,0809,3.78583,3.82088,3.82088,3.82088,101111
000,29,0,0809,3.80514,3.82088,3.82088,3.82088,101111
000,30,0,0809,3.806,3.82088,3.82088,3.82088,101111
000,31,0,0809,3.79595,3.82088,3.82088,3.82088,101111
000,32,0,0809,3.80902,3.82088,3.82088,3.82088,101111
000,33,0,0809,3.79482,3.82088,3.82088,3.82088,101111
000,34,0,0809,3.78898,3.82088,3.82088,3.82088,101111
000,35,0,0809,3.80419,3.82088,3.82088,3.82088,101111
000,36,0,0809,3.80601,3.82088,3.82088,3.82088,101111
000,37,0,0809,3.79608,3.82088,3.82088,3.82088,101111
000,38,0,0809,3.79083,3.82088,3.82088,3.82088,101111
000,39,0,0809,3.79502,3.82088,3.82088,3.82088,101111
000,40,0,0809,3.80994,3.82088,3.82088,3.82088,101111
