"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","x","y","frac_1","frac_2","frac_3","frac_4","frac_5"
"46",NA,45,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.5,0,1,0,0,0
"47",NA,46,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.5625,0,1,0,0,0
"48",NA,47,1.21,0,1.21,1.21,100,1.210002,0.833333333333333,0.285714285714286,0,1,0,0,0
"49",NA,48,1.120125,0.0154396938131313,0.9025,1.21,100,0.902502,0.333333333333333,0.9375,0.07,0.65,0.05,0.23,0
"50",NA,49,1.188275,0.00556536553030303,0.9025,1.21,100,0.857376,0.5,0.80952380952381,0.01,0.92,0.03,0.04,0
"51",NA,50,1.181625,0.00737643623737374,0.9025,1.21,100,0.857376,0.5,0.857142857142857,0,0.9,0.05,0.05,0
"52",NA,51,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.625,0,1,0,0,0
"53",NA,52,1.185225,0.00641213320707071,0.9025,1.21,100,0.857376,0.5,0.904761904761905,0.02,0.91,0.05,0.02,0
"54",NA,53,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.6875,0,1,0,0,0
"55",NA,54,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.75,0,1,0,0,0
"56",NA,55,1.20647375,0.00124344390625,0.857375,1.21,100,1.210002,0.833333333333333,0.428571428571429,0,0.99,0,0,0.01
"57",NA,56,1.1836,0.00650130303030303,0.9025,1.21,100,0.857376,0.5,0.952380952380952,0.03,0.9,0.04,0.03,0
"58",NA,57,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.8125,0,1,0,0,0
"59",NA,58,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.875,0,1,0,0,0
"60",NA,59,1.21,0,1.21,1.21,100,1.210002,0.833333333333333,0.571428571428571,0,1,0,0,0
"61",NA,60,1.21,0,1.21,1.21,100,1.210002,0.666666666666667,0.9375,0,1,0,0,0
"62",NA,61,1.21,0,1.21,1.21,100,1.210002,0.833333333333333,0.714285714285714,0,1,0,0,0
"63",NA,62,1.206925,0.0009455625,0.9025,1.21,100,1.210002,0.833333333333333,0.857142857142857,0,0.99,0.01,0,0
"64",NA,63,1.2074,0.000676,0.95,1.21,100,1.210002,1,0.5,0,0.99,0,0.01,0
