"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","x","y","frac_1","frac_2","frac_3"
"48",NA,47,1.4641,0,1.4641,1.4641,100,1.000002,0.833333333333333,0.285714285714286,0,0,1
"49",NA,48,1.1176,0.010976,1,1.21,100,1.000002,0.333333333333333,0.9375,0.56,0.44,0
"50",NA,49,1.099456,0.0301643572363636,1,1.4641,100,1.000002,0.5,0.80952380952381,0.12,0.72,0.16
"51",NA,50,1.069069,0.0205529961,1,1.4641,100,1.000002,0.5,0.857142857142857,0.13,0.78,0.09
"52",NA,51,1.350175,0.0397576534090909,1,1.4641,100,1.000002,0.666666666666667,0.625,0.01,0.24,0.75
"53",NA,52,1.044646,0.0146041043272727,1,1.4641,100,1.000002,0.5,0.904761904761905,0.08,0.86,0.06
"54",NA,53,1.366198,0.0351356531272727,1,1.4641,100,1.000002,0.666666666666667,0.6875,0.02,0.2,0.78
"55",NA,54,1.32487,0.0456885354545454,1,1.4641,100,1.000002,0.666666666666667,0.75,0,0.3,0.7
"56",NA,55,1.4641,0,1.4641,1.4641,100,1.000002,0.833333333333333,0.428571428571429,0,0,1
"57",NA,56,1.089733,0.0263863979909091,1,1.4641,100,1.000002,0.5,0.952380952380952,0.14,0.73,0.13
"58",NA,57,1.391944,0.0280277790545455,1,1.4641,100,1.000002,0.666666666666667,0.8125,0.01,0.15,0.84
"59",NA,58,1.368739,0.0349795048272727,1,1.4641,100,1.000002,0.666666666666667,0.875,0.01,0.2,0.79
"60",NA,59,1.4641,0,1.4641,1.4641,100,1.000002,0.833333333333333,0.571428571428571,0,0,1
"61",NA,60,1.366639,0.0360939430090909,1,1.4641,100,1.000002,0.666666666666667,0.9375,0,0.21,0.79
"62",NA,61,1.4641,0,1.4641,1.4641,100,1.000002,0.833333333333333,0.714285714285714,0,0,1
"63",NA,62,1.4641,0,1.4641,1.4641,100,1.000002,0.833333333333333,0.857142857142857,0,0,1
"64",NA,63,1.4641,0,1.4641,1.4641,100,1.464102,1,0.5,0,0,1
