"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","x","y","frac_1","frac_2"
"52",NA,51,1.4641,0,1.4641,1.4641,100,1.000002,0.666666666666667,0.625,0,1
"53",NA,52,1.370083,0.0152025489,1.21,1.4641,100,1.000002,0.5,0.904761904761905,0.37,0.63
"54",NA,53,1.461559,0.0006456681,1.21,1.4641,100,1.000002,0.666666666666667,0.6875,0.01,0.99
"55",NA,54,1.4641,0,1.4641,1.4641,100,1.000002,0.666666666666667,0.75,0,1
"56",NA,55,1.4641,0,1.4641,1.4641,100,1.000002,0.833333333333333,0.428571428571429,0,1
"57",NA,56,1.385329,0.0139503441,1.21,1.4641,100,1.000002,0.5,0.952380952380952,0.31,0.69
"58",NA,57,1.4641,0,1.4641,1.4641,100,1.000002,0.666666666666667,0.8125,0,1
"59",NA,58,1.4641,0,1.4641,1.4641,100,1.000002,0.666666666666667,0.875,0,1
"60",NA,59,1.4641,0,1.4641,1.4641,100,1.000002,0.833333333333333,0.571428571428571,0,1
"61",NA,60,1.4641,0,1.4641,1.4641,100,1.000002,0.666666666666667,0.9375,0,1
"62",NA,61,1.4641,0,1.4641,1.4641,100,1.000002,0.833333333333333,0.714285714285714,0,1
"63",NA,62,1.4641,0,1.4641,1.4641,100,1.000002,0.833333333333333,0.857142857142857,0,1
"64",NA,63,1.4641,0,1.4641,1.4641,100,1.464102,1,0.5,0,1
