"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","x","y","frac_1","frac_2","frac_3"
"1",NA,0,1.21,0,1.21,1.21,100,1.210002,0,0.5,1,0,0
"2",NA,1,1.21,0,1.21,1.21,100,0,0.166666666666667,0.142857142857143,1,0,0
"3",NA,2,1.21,0,1.21,1.21,100,0,0.166666666666667,0.285714285714286,1,0,0
"4",NA,3,1.022692,0.2385876064,0,1.4641,100,0,0.333333333333333,0.0625,0.7,0.18,0.12
"5",NA,4,1.21,0,1.21,1.21,100,0,0.166666666666667,0.428571428571429,1,0,0
"6",NA,5,0.960256,0.302366286933333,0,1.4641,100,0,0.333333333333333,0.125,0.6,0.24,0.16
"7",NA,6,1.04302,0.25107984,0,1.4641,100,0,0.333333333333333,0.1875,0.62,0.18,0.2
"8",NA,7,0.928917,0.402780875566667,0,1.4641,100,0,0.5,0.0476190476190476,0.32,0.31,0.37
"9",NA,8,1.21,0,1.21,1.21,100,0,0.166666666666667,0.571428571428571,1,0,0
"10",NA,9,1.038543,0.266294811566667,0,1.4641,100,0,0.333333333333333,0.25,0.58,0.19,0.23
"11",NA,10,1.113079,0.180369710766667,0,1.4641,100,0,0.333333333333333,0.3125,0.69,0.12,0.19
"12",NA,11,1.039027,0.356059226233333,0,1.4641,100,0,0.5,0.0952380952380952,0.29,0.24,0.47
"13",NA,12,0.984456,0.284406660266667,0,1.4641,100,0,0.333333333333333,0.375,0.62,0.22,0.16
"14",NA,13,1.062622,0.316018975066667,0,1.4641,100,0,0.5,0.142857142857143,0.37,0.21,0.42
"15",NA,14,0.960135,0.373852389166667,0,1.4641,100,0,0.5,0.19047619047619,0.37,0.28,0.35
"16",NA,15,1.201288,0.266105587733333,0,1.4641,100,0,0.666666666666667,0.0625,0.17,0.15,0.68
"17",NA,16,1.21,0,1.21,1.21,100,0,0.166666666666667,0.714285714285714,1,0,0
"18",NA,17,1.052579,0.238771032988889,0,1.4641,100,0,0.333333333333333,0.4375,0.64,0.17,0.19
"19",NA,18,0.994015,0.273228789166667,0,1.4641,100,0,0.333333333333333,0.5,0.64,0.21,0.15
"20",NA,19,1.013617,0.340108522233333,0,1.4641,100,0,0.5,0.238095238095238,0.39,0.24,0.37
