"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","x","y","frac_1","frac_2","frac_3","frac_4","frac_5"
"1",NA,0,1.186275,0.00914074229797979,1,1.4641,100,1.210002,0,0.5,0.37,0.49,0.07,0.05,0.02
"2",NA,1,1.193176,0.0121336279030303,1,1.4641,100,1.099998,0.166666666666667,0.142857142857143,0.32,0.43,0.13,0.06,0.06
"3",NA,2,1.200457,0.0133702806575757,1,1.4641,100,1.099998,0.166666666666667,0.285714285714286,0.34,0.37,0.17,0.07,0.05
"4",NA,3,1.286342,0.0162136739757576,1,1.4641,100,1.000002,0.333333333333333,0.0625,0.15,0.27,0.34,0.22,0.02
"5",NA,4,1.210488,0.0127875420767677,1,1.4641,100,1.099998,0.166666666666667,0.428571428571429,0.28,0.44,0.16,0.08,0.04
"6",NA,5,1.299365,0.0151783225,1,1.4641,100,1.000002,0.333333333333333,0.125,0.12,0.28,0.34,0.25,0.01
"7",NA,6,1.264011,0.0179475676555555,1,1.4641,100,1.000002,0.333333333333333,0.1875,0.25,0.28,0.25,0.21,0.01
"8",NA,7,1.31362,0.01044824,1.1,1.4641,100,1.099998,0.5,0.0476190476190476,0.07,0.23,0.5,0.2,0
"9",NA,8,1.218463,0.0156549423545454,1,1.4641,100,1.099998,0.166666666666667,0.571428571428571,0.29,0.41,0.13,0.13,0.04
"10",NA,9,1.292018,0.0183058833090909,1,1.4641,100,1.000002,0.333333333333333,0.25,0.16,0.27,0.27,0.28,0.02
"11",NA,10,1.278796,0.0187908191757576,1,1.4641,100,1.000002,0.333333333333333,0.3125,0.19,0.3,0.23,0.26,0.02
"12",NA,11,1.302796,0.0146058616,1.1,1.4641,100,1.099998,0.5,0.0952380952380952,0.12,0.29,0.33,0.26,0
"13",NA,12,1.27884,0.0157136731313131,1,1.4641,100,1.000002,0.333333333333333,0.375,0.15,0.31,0.32,0.2,0.02
"14",NA,13,1.29503,0.0135152233333333,1.1,1.4641,100,1.099998,0.5,0.142857142857143,0.14,0.25,0.41,0.2,0
"15",NA,14,1.318713,0.0107465857888889,1.1,1.4641,100,1.099998,0.5,0.19047619047619,0.06,0.24,0.47,0.23,0
"16",NA,15,1.330934,0.0131632556,1.1,1.4641,100,1.210002,0.666666666666667,0.0625,0.06,0.26,0.34,0.34,0
"17",NA,16,1.237458,0.0168212161979798,1,1.4641,100,1.099998,0.166666666666667,0.714285714285714,0.26,0.42,0.12,0.18,0.02
"18",NA,17,1.296901,0.0183922801,1,1.4641,100,1.000002,0.333333333333333,0.4375,0.16,0.29,0.23,0.31,0.01
"19",NA,18,1.276775,0.0195586382575757,1,1.4641,100,1.000002,0.333333333333333,0.5,0.15,0.3,0.25,0.25,0.05
"20",NA,19,1.308274,0.0127648942666667,1.1,1.4641,100,1.099998,0.5,0.238095238095238,0.09,0.28,0.39,0.24,0
"21",NA,20,1.281005,0.0120467691666667,1.1,1.4641,100,1.000002,0.333333333333333,0.5625,0.13,0.33,0.39,0.15,0
"22",NA,21,1.30975,0.0163607075757576,1,1.4641,100,1.099998,0.5,0.285714285714286,0.1,0.26,0.32,0.3,0.02
"23",NA,22,1.327271,0.0133420441,1.1,1.4641,100,1.099998,0.5,0.333333333333333,0.09,0.2,0.4,0.31,0
