"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","x","y"
"1",845,0,4.4760782,0.0167674009846061,4.05491,4.55411,100,2.863719,0,0.5
"2",845,1,4.55411,0,4.55411,4.55411,100,2.8691317,0.166666666666667,0.142857142857143
"3",845,2,4.417219,0.0138240783525252,4.22436,4.55411,100,2.5229108,0.166666666666667,0.285714285714286
"4",845,3,4.535335,0.00283961275252525,4.22436,4.55411,100,0.9898599,0.333333333333333,0.0625
"5",845,4,4.4035854,0.0298091204008485,4.05491,4.55411,100,1.4422655,0.166666666666667,0.428571428571429
"6",845,5,4.526502,0.00149451306666666,4.47291,4.55411,100,2.1401772,0.333333333333333,0.125
"7",845,6,4.3120378,0.0439080249607676,3.86051,4.55411,100,3.2538645,0.333333333333333,0.1875
"8",845,7,3.9286128,0.0293157475718787,3.86051,4.47291,100,2.47344614,0.5,0.0476190476190476
"9",845,8,4.55411,0,4.55411,4.55411,100,3.567933,0.166666666666667,0.571428571428571
"10",845,9,4.55411,0,4.55411,4.55411,100,4.554115,0.333333333333333,0.25
"11",845,10,4.5405648,0.00366221706157575,4.18389,4.55411,100,3.370008,0.333333333333333,0.3125
"12",845,11,4.55411,0,4.55411,4.55411,100,1.702658,0.5,0.0952380952380952
"13",845,12,4.55411,0,4.55411,4.55411,100,3.286138,0.333333333333333,0.375
"14",845,13,4.55411,0,4.55411,4.55411,100,3.1920257,0.5,0.142857142857143
"15",845,14,4.5266265,0.00992110298257574,3.86051,4.55411,100,2.7964109,0.5,0.19047619047619
"16",845,15,4.53293,0.00986508727272726,3.86051,4.55411,100,1.85056454,0.666666666666667,0.0625
"17",845,16,4.48915,0.00106560646464646,4.47291,4.55411,100,3.792661,0.166666666666667,0.714285714285714
"18",845,17,4.492398,0.00121479136969697,4.47291,4.55411,100,4.472915,0.333333333333333,0.4375
"19",845,18,4.418942,0.012500505430303,4.22436,4.55411,100,4.224356,0.333333333333333,0.5
"20",845,19,4.491586,0.00117949315555555,4.47291,4.55411,100,2.707793,0.5,0.238095238095238
"21",845,20,4.3794162,0.021905792674303,4.18389,4.55411,100,3.188662,0.333333333333333,0.5625
"22",845,21,4.491586,0.00117949315555555,4.47291,4.55411,100,3.7550892,0.5,0.285714285714286
"23",845,22,4.424725,0.011915801540404,4.22436,4.55411,100,3.329542,0.5,0.333333333333333
"24",845,23,4.4882885,0.00185033289166666,4.22436,4.55411,100,3.256457,0.666666666666667,0.125
