"X","genotype_a","genotype_b","avg_fitness_a","avg_fitness_b","fitness_sd_a","fitness_sd_b","raw_p","adj_p","starting_fitness_a","starting_fitness_b","fitness_diff","mut_prob","pop_size","condition_num","pop_size_str","pop_size_factor","genotype_a_x","genotype_b_x","starting_fitness_a_norm","starting_fitness_b_norm","avg_fitness_a_norm","avg_fitness_b_norm","sd_fitness_a_norm","sd_fitness_b_norm","is_signif","signif_marker","signif_text","text_x","x_min","x_max","y","text_y"
6,0,32,1,1,0,0,1,1,1.000002,0.949998,-0.0500039999999999,0.001,1000,3,"1000 (base)","1000 (base)",0,1,1.000002,0.949998,1,1,0,0,FALSE,"","p=1",0.5,0.9,0.1,0.7,0.66
197,32,48,1,1.199563,0,0.230922168292892,0.999999999999923,1,0.949998,0.902502,-0.0474960000000001,0.001,1000,3,"1000 (base)","1000 (base)",1,2,0.949998,0.902502,1,1.199563,0,0.230922168292892,FALSE,"","p=1",1.5,1.9,1.1,0.7,0.66
198,32,0,1,1,0,0,1,1,0.949998,1.000002,0.0500039999999999,0.001,1000,3,"1000 (base)","1000 (base)",1,0,0.949998,1.000002,1,1,0,0,FALSE,"","p=1",0.5,0.1,0.9,0.7,0.66
292,48,56,1.199563,1.4641,0.230922168292892,0,1,1,0.902502,0.857376,-0.045126,0.001,1000,3,"1000 (base)","1000 (base)",2,3,0.902502,0.857376,1.199563,1.4641,0.230922168292892,0,FALSE,"","p=1",2.5,2.9,2.1,0.7,0.66
293,48,32,1.199563,1,0.230922168292892,0,7.86054319377793e-14,4.71632591626676e-13,0.902502,0.949998,0.0474960000000001,0.001,1000,3,"1000 (base)","1000 (base)",2,1,0.902502,0.949998,1.199563,1,0.230922168292892,0,TRUE,"***","p < 0.001",1.5,1.1,1.9,0.7,0.66
339,56,60,1.4641,1.4641,0,0,1,1,0.857376,1.464102,0.606726,0.001,1000,3,"1000 (base)","1000 (base)",3,4,0.857376,1.464102,1.4641,1.4641,0,0,FALSE,"","p=1",3.5,3.9,3.1,0.7,0.66
340,56,48,1.4641,1.199563,0,0.230922168292892,2.6763052879176e-19,1.60578317275056e-18,0.857376,0.902502,0.045126,0.001,1000,3,"1000 (base)","1000 (base)",3,2,0.857376,0.902502,1.4641,1.199563,0,0.230922168292892,TRUE,"***","p < 0.001",2.5,2.1,2.9,0.7,0.66
363,60,56,1.4641,1.4641,0,0,1,1,1.464102,0.857376,-0.606726,0.001,1000,3,"1000 (base)","1000 (base)",4,3,1.464102,0.857376,1.4641,1.4641,0,0,FALSE,"","p=1",3.5,3.1,3.9,0.7,0.66
6,0,32,0.984675,0.98350575,0.0293976889595359,0.0761080427079547,0.00633108975972082,0.0379865385583249,1.000002,0.949998,-0.0500039999999999,0.001,10,1,"10","10",0,1,1.000002,0.949998,0.984675,0.98350575,0.0293976889595359,0.0761080427079547,TRUE," *","p=0.038",0.5,0.9,0.1,0.8,0.76
197,32,48,0.98350575,1.0719155,0.0761080427079547,0.218686938898273,0.651027921593679,1,0.949998,0.902502,-0.0474960000000001,0.001,10,1,"10","10",1,2,0.949998,0.902502,0.98350575,1.0719155,0.0761080427079547,0.218686938898273,FALSE,"","p=1",1.5,1.9,1.1,0.8,0.76
198,32,0,0.98350575,0.984675,0.0761080427079547,0.0293976889595359,0.993720596646403,1,0.949998,1.000002,0.0500039999999999,0.001,10,1,"10","10",1,0,0.949998,1.000002,0.98350575,0.984675,0.0761080427079547,0.0293976889595359,FALSE,"","p=1",0.5,0.1,0.9,0.8,0.76
292,48,56,1.0719155,1.38568375,0.218686938898273,0.188380296885674,1,1,0.902502,0.857376,-0.045126,0.001,10,1,"10","10",2,3,0.902502,0.857376,1.0719155,1.38568375,0.218686938898273,0.188380296885674,FALSE,"","p=1",2.5,2.9,2.1,0.8,0.76
293,48,32,1.0719155,0.98350575,0.218686938898273,0.0761080427079547,0.349929868257027,1,0.902502,0.949998,0.0474960000000001,0.001,10,1,"10","10",2,1,0.902502,0.949998,1.0719155,0.98350575,0.218686938898273,0.0761080427079547,FALSE,"","p=1",1.5,1.1,1.9,0.8,0.76
339,56,60,1.38568375,1.4641,0.188380296885674,0,0.999970383503542,1,0.857376,1.464102,0.606726,0.001,10,1,"10","10",3,4,0.857376,1.464102,1.38568375,1.4641,0.188380296885674,0,FALSE,"","p=1",3.5,3.9,3.1,0.8,0.76
340,56,48,1.38568375,1.0719155,0.188380296885674,0.218686938898273,4.28705041665259e-16,2.57223024999155e-15,0.857376,0.902502,0.045126,0.001,10,1,"10","10",3,2,0.857376,0.902502,1.38568375,1.0719155,0.188380296885674,0.218686938898273,TRUE,"***","p < 0.001",2.5,2.1,2.9,0.8,0.76
363,60,56,1.4641,1.38568375,0,0.188380296885674,3.02958120151326e-05,0.000181774872090796,1.464102,0.857376,-0.606726,0.001,10,1,"10","10",4,3,1.464102,0.857376,1.4641,1.38568375,0,0.188380296885674,TRUE,"***","p < 0.001",3.5,3.1,3.9,0.8,0.76
6,0,32,1,1,0,0,1,1,1.000002,0.949998,-0.0500039999999999,0.001,100,2,"100","100",0,1,1.000002,0.949998,1,1,0,0,FALSE,"","p=1",0.5,0.9,0.1,0.75,0.71
197,32,48,1,1.051051,0,0.145943688112916,0.999670786282632,1,0.949998,0.902502,-0.0474960000000001,0.001,100,2,"100","100",1,2,0.949998,0.902502,1,1.051051,0,0.145943688112916,FALSE,"","p=1",1.5,1.9,1.1,0.75,0.71
198,32,0,1,1,0,0,1,1,0.949998,1.000002,0.0500039999999999,0.001,100,2,"100","100",1,0,0.949998,1.000002,1,1,0,0,FALSE,"","p=1",0.5,0.1,0.9,0.75,0.71
292,48,56,1.051051,1.454818,0.145943688112916,0.065301327008652,1,1,0.902502,0.857376,-0.045126,0.001,100,2,"100","100",2,3,0.902502,0.857376,1.051051,1.454818,0.145943688112916,0.065301327008652,FALSE,"","p=1",2.5,2.9,2.1,0.75,0.71
293,48,32,1.051051,1,0.145943688112916,0,0.000336754996986934,0.0020205299819216,0.902502,0.949998,0.0474960000000001,0.001,100,2,"100","100",2,1,0.902502,0.949998,1.051051,1,0.145943688112916,0,TRUE,"**","p=0.002",1.5,1.1,1.9,0.75,0.71
339,56,60,1.454818,1.4641,0.065301327008652,0,0.922902494644706,1,0.857376,1.464102,0.606726,0.001,100,2,"100","100",3,4,0.857376,1.464102,1.454818,1.4641,0.065301327008652,0,FALSE,"","p=1",3.5,3.9,3.1,0.75,0.71
340,56,48,1.454818,1.051051,0.065301327008652,0.145943688112916,3.47159585049715e-35,2.08295751029829e-34,0.857376,0.902502,0.045126,0.001,100,2,"100","100",3,2,0.857376,0.902502,1.454818,1.051051,0.065301327008652,0.145943688112916,TRUE,"***","p < 0.001",2.5,2.1,2.9,0.75,0.71
363,60,56,1.4641,1.454818,0,0.065301327008652,0.0791678125549835,0.475006875329901,1.464102,0.857376,-0.606726,0.001,100,2,"100","100",4,3,1.464102,0.857376,1.4641,1.454818,0,0.065301327008652,FALSE,"","p=0.475",3.5,3.1,3.9,0.75,0.71
6,0,32,1.004641,1.04641,0.04641,0.13993141501854,0.997344661713283,1,1.000002,0.949998,-0.0500039999999999,0.001,10000,4,"10000","10000",0,1,1.000002,0.949998,1.004641,1.04641,0.04641,0.13993141501854,FALSE,"","p=1",0.5,0.9,0.1,0.65,0.61
