"X","genotype_a","genotype_b","avg_fitness_a","avg_fitness_b","fitness_sd_a","fitness_sd_b","raw_p","adj_p","starting_fitness_a","starting_fitness_b","fitness_diff","mut_prob","pop_size","condition_num","genotype_a_x","genotype_b_x","starting_fitness_a_norm","starting_fitness_b_norm","avg_fitness_a_norm","avg_fitness_b_norm","sd_fitness_a_norm","sd_fitness_b_norm","is_signif","signif_marker","signif_text","text_x","x_min","x_max","y","text_y","mut_str","mut_factor"
340,56,48,1.4641,1.013923,0,0.0795683707717629,5.96463819316706e-43,3.57878291590024e-42,0.857376,0.902502,0.045126,1e-04,1000,1,3,2,0.857376,0.902502,1.4641,1.013923,0,0.0795683707717629,TRUE,"***","p < 0.001",2.5,2.1,2.9,0.8,0.76,"0.0001","0.0001"
363,60,56,1.4641,1.4641,0,0,1,1,1.464102,0.857376,-0.606726,1e-04,1000,1,4,3,1.464102,0.857376,1.4641,1.4641,0,0,FALSE,"","p=1",3.5,3.1,3.9,0.8,0.76,"0.0001","0.0001"
6,0,32,1.129948,1.213486,0.20943016505834,0.23247152623298,0.995744684365891,1,1.000002,0.949998,-0.0500039999999999,0.005,1000,4,0,1,1.000002,0.949998,1.129948,1.213486,0.20943016505834,0.23247152623298,FALSE,"","p=1",0.5,0.9,0.1,0.65,0.61,"0.005","0.005"
197,32,48,1.213486,1.4641,0.23247152623298,0,1,1,0.949998,0.902502,-0.0474960000000001,0.005,1000,4,1,2,0.949998,0.902502,1.213486,1.4641,0.23247152623298,0,FALSE,"","p=1",1.5,1.9,1.1,0.65,0.61,"0.005","0.005"
198,32,0,1.213486,1.129948,0.23247152623298,0.20943016505834,0.00429204222639554,0.0257522533583732,0.949998,1.000002,0.0500039999999999,0.005,1000,4,1,0,0.949998,1.000002,1.213486,1.129948,0.23247152623298,0.20943016505834,TRUE,"*","p=0.026",0.5,0.1,0.9,0.65,0.61,"0.005","0.005"
292,48,56,1.4641,1.4641,0,0,1,1,0.902502,0.857376,-0.045126,0.005,1000,4,2,3,0.902502,0.857376,1.4641,1.4641,0,0,FALSE,"","p=1",2.5,2.9,2.1,0.65,0.61,"0.005","0.005"
293,48,32,1.4641,1.213486,0,0.23247152623298,4.84301898547276e-18,2.90581139128366e-17,0.902502,0.949998,0.0474960000000001,0.005,1000,4,2,1,0.902502,0.949998,1.4641,1.213486,0,0.23247152623298,TRUE,"***","p < 0.001",1.5,1.1,1.9,0.65,0.61,"0.005","0.005"
339,56,60,1.4641,1.4641,0,0,1,1,0.857376,1.464102,0.606726,0.005,1000,4,3,4,0.857376,1.464102,1.4641,1.4641,0,0,FALSE,"","p=1",3.5,3.9,3.1,0.65,0.61,"0.005","0.005"
340,56,48,1.4641,1.4641,0,0,1,1,0.857376,0.902502,0.045126,0.005,1000,4,3,2,0.857376,0.902502,1.4641,1.4641,0,0,FALSE,"","p=1",2.5,2.1,2.9,0.65,0.61,"0.005","0.005"
363,60,56,1.4641,1.4641,0,0,1,1,1.464102,0.857376,-0.606726,0.005,1000,4,4,3,1.464102,0.857376,1.4641,1.4641,0,0,FALSE,"","p=1",3.5,3.1,3.9,0.65,0.61,"0.005","0.005"
6,0,32,1.4641,1.4641,0,0,1,1,1.000002,0.949998,-0.0500039999999999,0.01,1000,5,0,1,1.000002,0.949998,1.4641,1.4641,0,0,FALSE,"","p=1",0.5,0.9,0.1,0.6,0.56,"0.01","0.01"
197,32,48,1.4641,1.4641,0,0,1,1,0.949998,0.902502,-0.0474960000000001,0.01,1000,5,1,2,0.949998,0.902502,1.4641,1.4641,0,0,FALSE,"","p=1",1.5,1.9,1.1,0.6,0.56,"0.01","0.01"
198,32,0,1.4641,1.4641,0,0,1,1,0.949998,1.000002,0.0500039999999999,0.01,1000,5,1,0,0.949998,1.000002,1.4641,1.4641,0,0,FALSE,"","p=1",0.5,0.1,0.9,0.6,0.56,"0.01","0.01"
292,48,56,1.4641,1.4641,0,0,1,1,0.902502,0.857376,-0.045126,0.01,1000,5,2,3,0.902502,0.857376,1.4641,1.4641,0,0,FALSE,"","p=1",2.5,2.9,2.1,0.6,0.56,"0.01","0.01"
293,48,32,1.4641,1.4641,0,0,1,1,0.902502,0.949998,0.0474960000000001,0.01,1000,5,2,1,0.902502,0.949998,1.4641,1.4641,0,0,FALSE,"","p=1",1.5,1.1,1.9,0.6,0.56,"0.01","0.01"
339,56,60,1.4641,1.4641,0,0,1,1,0.857376,1.464102,0.606726,0.01,1000,5,3,4,0.857376,1.464102,1.4641,1.4641,0,0,FALSE,"","p=1",3.5,3.9,3.1,0.6,0.56,"0.01","0.01"
340,56,48,1.4641,1.4641,0,0,1,1,0.857376,0.902502,0.045126,0.01,1000,5,3,2,0.857376,0.902502,1.4641,1.4641,0,0,FALSE,"","p=1",2.5,2.1,2.9,0.6,0.56,"0.01","0.01"
363,60,56,1.4641,1.4641,0,0,1,1,1.464102,0.857376,-0.606726,0.01,1000,5,4,3,1.464102,0.857376,1.4641,1.4641,0,0,FALSE,"","p=1",3.5,3.1,3.9,0.6,0.56,"0.01","0.01"
